time,src,dst,severity,message
2025-09-01 00:29:07,10.10.3.2:46786,1.1.1.1:53,High,Anomalous UDP flow detected (score=-200.306)
2025-09-01 00:29:07,10.10.3.2:46786,1.1.1.1:53,High,Anomalous UDP flow detected (score=-200.306)
2025-09-01 00:29:07,10.10.40.1:57574,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:29:07,10.10.30.1:57572,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:29:22,10.10.3.2:53182,1.1.1.1:53,High,Anomalous UDP flow detected (score=-200.306)
2025-09-01 00:29:22,10.10.3.2:53182,1.1.1.1:53,High,Anomalous UDP flow detected (score=-200.306)
2025-09-01 00:30:02,10.10.4.2:51179,170.247.170.2:53,High,Anomalous UDP flow detected (score=-200.305)
2025-09-01 00:30:07,10.10.3.2:4500,10.10.1.2:4500,High,Anomalous UDP flow detected (score=-200.306)
2025-09-01 00:30:07,10.10.1.2:4500,10.10.3.2:4500,High,Anomalous UDP flow detected (score=-200.306)
2025-09-01 00:30:12,10.10.4.2:52086,192.36.148.17:53,High,Anomalous UDP flow detected (score=-200.305)
2025-09-01 00:30:12,10.10.30.1:59412,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:30:12,10.10.40.1:59413,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:30:22,10.10.4.2:60709,202.12.27.33:53,High,Anomalous UDP flow detected (score=-200.305)
2025-09-01 00:30:32,10.10.4.2:55775,198.97.190.53:53,High,Anomalous UDP flow detected (score=-200.305)
2025-09-01 00:30:52,0.0.0.0:68,255.255.255.255:67,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:31:07,10.10.40.1:57574,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:31:07,10.10.30.1:57572,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:31:57,10.10.30.254:67,10.10.30.128:68,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:31:58,10.10.40.254:67,10.10.40.128:68,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:32:11,10.10.40.1:64864,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:32:11,10.10.30.1:64863,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:32:12,10.10.40.1:64864,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:32:12,10.10.30.1:64863,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:32:13,10.10.40.1:57621,10.10.40.255:57621,High,Anomalous UDP flow detected (score=-200.301)
2025-09-01 00:32:13,10.10.40.1:64864,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:32:13,10.10.30.1:64863,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:32:14,10.10.40.1:64864,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:32:14,10.10.30.1:64863,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:32:43,10.10.40.1:57621,10.10.40.255:57621,High,Anomalous UDP flow detected (score=-200.301)
2025-09-01 00:33:00,0.0.0.0:68,255.255.255.255:67,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:33:01,0.0.0.0:68,255.255.255.255:67,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:33:01,10.10.30.254:67,10.10.30.128:68,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:33:02,10.10.40.254:67,10.10.40.128:68,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:33:06,10.10.30.1:5353,224.0.0.251:5353,High,Anomalous UDP flow detected (score=-200.304)
2025-09-01 00:33:06,fe80::b925:b1c0:671:8b5:5353,ff02::fb:5353,High,Anomalous UDP flow detected (score=-200.305)
2025-09-01 00:33:06,10.10.40.1:5353,224.0.0.251:5353,High,Anomalous UDP flow detected (score=-200.304)
2025-09-01 00:33:06,fe80::1233:ef3d:1cb9:f6cc:5353,ff02::fb:5353,High,Anomalous UDP flow detected (score=-200.305)
2025-09-01 00:33:07,10.10.40.1:57574,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:33:07,10.10.30.1:57572,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:33:13,10.10.40.1:57621,10.10.40.255:57621,High,Anomalous UDP flow detected (score=-200.301)
2025-09-01 00:33:36,10.10.4.2:41403,8.8.8.8:53,High,Anomalous UDP flow detected (score=-200.305)
2025-09-01 00:33:37,10.10.4.2:59606,1.1.1.1:53,High,Anomalous UDP flow detected (score=-200.305)
2025-09-01 00:33:39,10.10.4.2:42934,192.112.36.4:53,High,Anomalous UDP flow detected (score=-200.305)
2025-09-01 00:33:39,10.10.4.2:41770,192.36.148.17:53,High,Anomalous UDP flow detected (score=-200.305)
2025-09-01 00:33:40,10.10.4.2:52087,192.33.4.12:53,High,Anomalous UDP flow detected (score=-200.305)
2025-09-01 00:33:41,10.10.4.2:45984,202.12.27.33:53,High,Anomalous UDP flow detected (score=-200.305)
2025-09-01 00:33:42,10.10.4.2:48315,198.97.190.53:53,High,Anomalous UDP flow detected (score=-200.305)
2025-09-01 00:33:43,10.10.4.2:35581,199.7.83.42:53,High,Anomalous UDP flow detected (score=-200.305)
2025-09-01 00:33:43,10.10.40.1:57621,10.10.40.255:57621,High,Anomalous UDP flow detected (score=-200.301)
2025-09-01 00:33:43,10.10.4.2:45069,198.41.0.4:53,High,Anomalous UDP flow detected (score=-200.305)
2025-09-01 00:33:44,10.10.4.2:53835,199.7.91.13:53,High,Anomalous UDP flow detected (score=-200.305)
2025-09-01 00:33:45,10.10.4.2:60451,192.5.5.241:53,High,Anomalous UDP flow detected (score=-200.305)
2025-09-01 00:33:46,10.10.4.2:40564,192.58.128.30:53,High,Anomalous UDP flow detected (score=-200.305)
2025-09-01 00:34:04,0.0.0.0:68,255.255.255.255:67,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:34:05,10.10.30.254:67,10.10.30.128:68,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:34:06,0.0.0.0:68,255.255.255.255:67,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:34:06,10.10.40.254:67,10.10.40.128:68,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:34:11,10.10.40.1:54201,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:34:11,10.10.30.1:54200,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:34:12,10.10.40.1:54201,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:34:12,10.10.30.1:54200,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:34:13,10.10.40.1:57621,10.10.40.255:57621,High,Anomalous UDP flow detected (score=-200.301)
2025-09-01 00:34:13,10.10.40.1:54201,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:34:14,10.10.30.1:54200,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:34:14,10.10.40.1:54201,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:34:15,10.10.30.1:54200,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:34:43,10.10.40.1:57621,10.10.40.255:57621,High,Anomalous UDP flow detected (score=-200.301)
2025-09-01 00:35:06,10.10.3.2:4500,10.10.2.2:4500,High,Anomalous UDP flow detected (score=-200.306)
2025-09-01 00:35:06,10.10.2.2:4500,10.10.3.2:4500,High,Anomalous UDP flow detected (score=-200.306)
2025-09-01 00:35:06,10.10.40.1:5353,224.0.0.251:5353,High,Anomalous UDP flow detected (score=-200.304)
2025-09-01 00:35:06,fe80::1233:ef3d:1cb9:f6cc:5353,ff02::fb:5353,High,Anomalous UDP flow detected (score=-200.305)
2025-09-01 00:35:06,10.10.30.1:5353,224.0.0.251:5353,High,Anomalous UDP flow detected (score=-200.304)
2025-09-01 00:35:06,fe80::b925:b1c0:671:8b5:5353,ff02::fb:5353,High,Anomalous UDP flow detected (score=-200.305)
2025-09-01 00:35:07,10.10.3.2:4500,10.10.1.2:4500,High,Anomalous UDP flow detected (score=-200.306)
2025-09-01 00:35:07,10.10.1.2:4500,10.10.3.2:4500,High,Anomalous UDP flow detected (score=-200.306)
2025-09-01 00:35:07,10.10.30.1:57572,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:35:07,10.10.40.1:57574,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:35:07,0.0.0.0:68,255.255.255.255:67,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:35:08,10.10.30.254:67,10.10.30.128:68,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:35:11,0.0.0.0:68,255.255.255.255:67,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:35:12,10.10.40.254:67,10.10.40.128:68,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:35:32,10.10.1.2:36184,10.10.4.2:389,High,Anomalous TCP flow detected (score=-200.307)
2025-09-01 00:35:32,10.10.4.2:389,10.10.1.2:36184,High,Anomalous TCP flow detected (score=-200.307)
2025-09-01 00:35:33,10.10.2.2:56718,10.10.4.2:389,High,Anomalous TCP flow detected (score=-200.307)
2025-09-01 00:35:33,10.10.4.2:389,10.10.2.2:56718,High,Anomalous TCP flow detected (score=-200.307)
2025-09-01 00:35:34,10.10.4.2:389,10.10.2.2:56718,High,Anomalous TCP flow detected (score=-200.307)
2025-09-01 00:35:34,10.10.4.2:389,10.10.1.2:36184,High,Anomalous TCP flow detected (score=-200.307)
2025-09-01 00:35:34,10.10.2.2:56718,10.10.4.2:389,High,Anomalous TCP flow detected (score=-200.307)
2025-09-01 00:35:34,10.10.1.2:36184,10.10.4.2:389,High,Anomalous TCP flow detected (score=-200.307)
2025-09-01 00:35:43,10.10.40.1:57621,10.10.40.255:57621,High,Anomalous UDP flow detected (score=-200.301)
2025-09-01 00:36:12,10.10.40.1:63807,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:12,10.10.30.1:63806,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:12,0.0.0.0:68,255.255.255.255:67,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:13,10.10.40.1:63807,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:13,10.10.30.1:63806,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:13,10.10.30.254:67,10.10.30.128:68,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:13,10.10.40.1:57621,10.10.40.255:57621,High,Anomalous UDP flow detected (score=-200.301)
2025-09-01 00:36:14,10.10.40.1:63807,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:14,10.10.30.1:63806,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:14,0.0.0.0:68,255.255.255.255:67,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:14,10.10.40.1:63807,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:14,10.10.30.1:63806,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:15,10.10.40.254:67,10.10.40.128:68,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:25,fe80::1233:ef3d:1cb9:f6cc:61373,ff02::1:3:5355,High,Anomalous UDP flow detected (score=-200.302)
2025-09-01 00:36:25,10.10.40.1:61373,224.0.0.252:5355,High,Anomalous UDP flow detected (score=-200.306)
2025-09-01 00:36:25,fe80::b925:b1c0:671:8b5:61373,ff02::1:3:5355,High,Anomalous UDP flow detected (score=-200.302)
2025-09-01 00:36:25,10.10.30.1:61373,224.0.0.252:5355,High,Anomalous UDP flow detected (score=-200.306)
2025-09-01 00:36:26,10.10.30.1:59539,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:26,10.10.40.1:59540,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:28,10.10.40.130:68,10.10.40.254:67,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:28,10.10.40.254:67,10.10.40.130:68,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:29,10.10.30.1:59539,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:29,10.10.40.1:59540,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:32,10.10.30.1:59539,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:32,10.10.40.1:59540,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:35,10.10.40.1:59540,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:35,10.10.30.1:59539,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:36:43,10.10.40.1:57621,10.10.40.255:57621,High,Anomalous UDP flow detected (score=-200.301)
2025-09-01 00:37:06,10.10.40.1:5353,224.0.0.251:5353,High,Anomalous UDP flow detected (score=-200.304)
2025-09-01 00:37:06,fe80::1233:ef3d:1cb9:f6cc:5353,ff02::fb:5353,High,Anomalous UDP flow detected (score=-200.305)
2025-09-01 00:37:06,10.10.30.1:5353,224.0.0.251:5353,High,Anomalous UDP flow detected (score=-200.304)
2025-09-01 00:37:06,fe80::b925:b1c0:671:8b5:5353,ff02::fb:5353,High,Anomalous UDP flow detected (score=-200.305)
2025-09-01 00:37:07,10.10.40.1:57574,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:37:07,10.10.30.1:57572,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:37:13,10.10.40.1:57621,10.10.40.255:57621,High,Anomalous UDP flow detected (score=-200.301)
2025-09-01 00:37:16,0.0.0.0:68,255.255.255.255:67,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:37:17,10.10.30.254:67,10.10.30.128:68,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:37:18,0.0.0.0:68,255.255.255.255:67,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:37:19,10.10.40.254:67,10.10.40.128:68,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:37:43,10.10.40.1:57621,10.10.40.255:57621,High,Anomalous UDP flow detected (score=-200.301)
2025-09-01 00:38:12,10.10.40.1:58311,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:38:12,10.10.30.1:58310,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:38:13,10.10.40.1:58311,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:38:13,10.10.30.1:58310,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:38:13,10.10.40.1:57621,10.10.40.255:57621,High,Anomalous UDP flow detected (score=-200.301)
2025-09-01 00:38:14,10.10.40.1:58311,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:38:14,10.10.30.1:58310,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:38:15,10.10.30.1:58310,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:38:15,10.10.40.1:58311,239.255.255.250:1900,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:38:19,0.0.0.0:68,255.255.255.255:67,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:38:20,10.10.30.254:67,10.10.30.128:68,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:38:22,0.0.0.0:68,255.255.255.255:67,High,Anomalous UDP flow detected (score=-200.307)
2025-09-01 00:38:22,10.10.40.254:67,10.10.40.128:68,High,Anomalous UDP flow detected (score=-200.307)
